Title	DOI	Abstract	MeSH_Terms	Pubmed link	drug_name_list	pubchem_id_list	PMID	Pubdate
Oscillatory spatial profile of alcohol's effects on the resting state: anatomically-constrained MEG.	DOI: 10.1016/j.alcohol.2013.12.004	It has been firmly established that opening and closing the eyes strongly modulate the electro- and magnetoencephalography (EEG and MEG) signals acquired during wakeful rest. Certain features of the resting EEG are altered in chronic alcoholics and their offspring, and have been proposed as biomarkers for alcoholism. Spontaneous brain oscillations are also affected by pharmacological manipulations, but the spectral and spatial characteristics of these changes are not clear. This study examined effects of the eyes-open (EO) and eyes-closed (EC) resting paradigm and alcohol challenge on the spatial profile of spontaneous MEG and EEG oscillations. Whole-head MEG and scalp EEG signals were acquired simultaneously from healthy social drinkers (n = 17) who participated in both alcohol (0.6 g/kg ethanol for men, 0.55 g/kg for women) and placebo conditions in a counterbalanced design. Power of the signal was calculated with Fast Fourier Transform and was decomposed into its constituent theta (4-7 Hz), alpha (8-12 Hz), and beta (15-20 Hz) frequency bands. High-resolution structural MRI images were additionally obtained from all participants and used to constrain distributed minimum norm inverse source power estimates. The spatial estimates of the main generator nodes were in agreement with studies using a combined fMRI-EEG approach. Alpha band oscillations dominated the spectral profile and their source was estimated to the medial parieto-occipital area. Power in theta and beta bands was weaker overall and their sources were estimated to a more focal medial prefrontal area. EO and EC manipulation most strongly modulated power in the alpha band, but a wide-band power increase was observed during the EC condition. Alcohol intoxication increased alpha power, particularly during the EC condition. Application of this methodology to cohorts of chronic alcoholics or individuals at risk could potentially provide insight into the neural basis of oscillatory differences that may be predictive of the vulnerability to alcoholism.	['Adult', 'Alcohol Drinking', 'Alcoholic Intoxicationphysiopathology', 'Alpha Rhythmdrug effects', 'Beta Rhythmdrug effects', 'Brain Mapping', 'Electroencephalographydrug effects', 'Ethanolpharmacology', 'Female', 'Humans', 'Magnetic Resonance Imaging', 'Magnetoencephalographydrug effects', 'Male', 'Restphysiology', 'Theta Rhythmdrug effects', 'Vision, Ocularphysiology']	https://pubmed.ncbi.nlm.nih.gov/24530007/	['Ethanol']	[702]	24530007	['2014', 'Mar']
Effects of alcohol on sleep and the sleep electroencephalogram in healthy young women.	DOI: 10.1111/j.1530-0277.2006.00111.x	Although the association between sleep and alcohol has been of interest to scientists for decades, the effects of alcohol on sleep and sleep electroencephalogram (EEG) have not been extensively studied in women. Our specific aim was to determine whether sleep stage variables and/or spectral characteristics of the sleep EEG are altered by alcohol administration in women.	['Adult', 'Breath Tests', 'Electroencephalography', 'Ethanoladministration & dosageanalysispharmacology', 'Female', 'Humans', 'Sleepdrug effects', 'Sleep Stagesdrug effects', 'Sleep, REMdrug effects']	https://pubmed.ncbi.nlm.nih.gov/16737455/	['Ethanol']	[702]	16737455	['2006', 'Jun']
Spatio-temporal processing of words and nonwords: hemispheric laterality and acute alcohol intoxication.	DOI: 10.1016/j.brainres.2014.02.030	This study examined neurofunctional correlates of reading by modulating semantic, lexical, and orthographic attributes of letter strings. It compared the spatio-temporal activity patterns elicited by real words (RW), pseudowords, orthographically regular, pronounceable nonwords (PN) that carry no meaning, and orthographically illegal, nonpronounceable nonwords (NN). A double-duty lexical decision paradigm instructed participants to detect RW while ignoring nonwords and to additionally respond to words that refer to animals (AW). Healthy social drinkers (N=22) participated in both alcohol (0.6 g/kg ethanol for men, 0.55 g/kg for women) and placebo conditions in a counterbalanced design. Whole-head MEG signals were analyzed with an anatomically-constrained MEG method. Simultaneously acquired ERPs confirm previous evidence. Spatio-temporal MEG estimates to RW and PN are consistent with the highly replicable left-lateralized ventral visual processing stream. However, the PN elicit weaker activity than other stimuli starting at ~230 ms and extending to the M400 (magnetic equivalent of N400) in the left lateral temporal area, indicating their reduced access to lexicosemantic stores. In contrast, the NN uniquely engage the right hemisphere during the M400. Increased demands on lexicosemantic access imposed by AW result in greater activity in the left temporal cortex starting at ~230 ms and persisting through the M400 and response preparation stages. Alcohol intoxication strongly attenuates early visual responses occipito-temporally overall. Subsequently, alcohol selectively affects the left prefrontal cortex as a function of orthographic and semantic dimensions, suggesting that it modulates the dynamics of the lexicosemantic processing in a top-down manner, by increasing difficulty of semantic retrieval.	['Adult', 'Alcoholic Intoxicationpathology', 'Brain Mapping', 'Electroencephalography', 'Evoked Potentialsphysiology', 'Female', 'Functional Laterality', 'Humans', 'Magnetic Resonance Imaging', 'Magnetoencephalography', 'Male', 'Pattern Recognition, Visualphysiology', 'Psycholinguistics', 'Reaction Timephysiology', 'Reading', 'Semantics', 'Surveys and Questionnaires', 'Young Adult']	https://pubmed.ncbi.nlm.nih.gov/24565928/	['Ethanol']	[702]	24565928	['2014', 'Apr']
Alcohol reduces cross-frequency theta-phase gamma-amplitude coupling in resting electroencephalography.	DOI: 10.1111/acer.12310	The electrophysiological inhibitory mechanism of cognitive control for alcohol remains largely unknown. The purpose of the study was to compare electroencephalogram (EEG) power spectra and cross-frequency phase-amplitude coupling (CFPAC) at rest and during a simple subtraction task after acute alcohol ingestion.	['Adult', 'Central Nervous System Depressantspharmacology', 'Electroencephalography Phase Synchronizationdrug effects', 'Ethanolpharmacology', 'Female', 'Healthy Volunteers', 'Humans', 'Male']	https://pubmed.ncbi.nlm.nih.gov/24255944/	['Ethanol']	[702]	24255944	['2014', 'Mar']
Time-of-day effects of ethanol consumption on EEG topography and cognitive event-related potential in adult males.	DOI: 10.2114/jpa.19.249	Time-of-day effects of ethanol consumption on EEG topography and cognitive event-related potential in adult males were studied. Ethanol (0.5 g/kg) or control drink was orally administered to nine healthy males at 10:00 and 18:00. The alpha 2 amplitude was significantly lower than that of the control at 0.5, 2.5 and 4.5 hours after ethanol consumption in the morning. These effects were observed in the left hemisphere and were only found after consumption in the morning. The subjectively rated attention was significantly lower than that of the control at 0.5 and 2.5 hours after ethanol consumption in the morning and at 0.5 hours after ethanol consumption in the evening. In contrast, the search speed of serial search task and P300 amplitude was significantly lower than that of the control at 2.5 hours after ethanol consumption in the evening. These results demonstrate that effects of ethanol are dependent on time-of-day of consumption. Ethanol consumption significantly lowered the alpha 2 amplitude when consumed in the morning, and lowered P300 amplitude when consumed in the evening.	['Adult', 'Alcohol Drinkingphysiopathology', 'Circadian Rhythm', 'Cognitiondrug effects', 'Electroencephalographydrug effects', 'Ethanolpharmacology', 'Evoked Potentialsdrug effects', 'Humans', 'Male']	https://pubmed.ncbi.nlm.nih.gov/11204871/	['Ethanol']	[702]	11204871	['2000', 'Nov']
Impairment due to combined sleep restriction and alcohol is not mitigated by decaying breath alcohol concentration or rest breaks.	DOI: 10.1002/hup.2626	Epidemiological and laboratory-based driving simulator studies have shown the detrimental impact of moderate, legal levels of alcohol consumption on driving performance in sleepy drivers. As less is known about the time course of decaying alcohol alongside performance impairment, our study examined impairment and recovery of performance alongside decaying levels of alcohol, with and without sleep restriction.	['Adolescent', 'Adult', 'Alcohol Drinkingphysiopathologypsychology', 'Attentiondrug effectsphysiology', 'Automobile Drivingpsychology', 'Braindrug effectsphysiopathology', 'Breath Tests', 'Central Nervous System Depressantsadministration & dosage', 'Electroencephalography', 'Ethanoladministration & dosage', 'Eye Movement Measurements', 'Eye Movementsdrug effectsphysiology', 'Humans', 'Male', 'Neuropsychological Tests', 'Psychotropic Drugsadministration & dosage', 'Reaction Time', 'Rest', 'Sleep Deprivationcomplicationsphysiopathologypsychology', 'Time Factors', 'Young Adult']	https://pubmed.ncbi.nlm.nih.gov/28722214/	['Ethanol']	[702]	28722214	['2017', 'Sep']
Effects of alcohol on TMS-evoked N100 responses.	DOI: 10.1016/j.jneumeth.2007.06.030	TMS combined with simultaneous EEG is a novel brain imaging tool allowing investigation local excitability of human cortex. As alcohol acts through increasing function of A-type gamma-aminobutyric acid receptors and attenuating the function of glutaminergic NMDA-receptors-related excitation, we tested whether TMS-evoked N100 response which is thought to reflect cortical inhibitory processes, might be affected by alcohol. Ten healthy subjects ingested alcohol (0.8 g/kg) and EEG responses from 60 channels before and after alcohol ingestion were recorded after left motor-cortex stimulation. Alcohol almost abolished TMS-evoked N100 response. Control experiments with a piece of plastic placed between the head and coil to exclude auditory artefacts were conducted. Alcohol effects were similar when EEG responses from control experiments were subtracted from real-TMS. Alcohol-induced decrease was similar at ipsilateral, contralateral and frontal EEG sites suggesting that alcohol may change cortico-cortical connectivity of motor cortex. Alternative explanation is that alcohol has overall suppression effect on motor cortex. N100 may provide a useful marker of neural inhibition of human cortex for drug research.	['Adult', 'Biomarkersanalysis', 'Brain Mappingmethods', 'Central Nervous System Depressantspharmacology', 'Electrodesstandards', 'Electroencephalographymethods', 'Ethanolpharmacology', 'Evoked Potentialsdrug effectsphysiology', 'Evoked Potentials, Motordrug effectsphysiology', 'Humans', 'Male', 'Motor Cortexdrug effectsphysiology', 'Neural Inhibitiondrug effectsphysiology', 'Reaction Timedrug effectsphysiology', 'Receptors, GABA-Adrug effectsmetabolism', 'Transcranial Magnetic Stimulationmethods']	https://pubmed.ncbi.nlm.nih.gov/17727957/	['Ethanol']	[702]	17727957	['2007', 'Oct']
Convergent and divergent effects of odors and emotions in depression.	DOI: 10.1111/1469-8986.00023	The aim of the present study was to investigate the similarities and differences in the olfactory and visual processing of emotional stimuli in healthy subjects and in patients with major depressive disorder (MDD). Twenty-five inpatients were investigated after admission to the psychiatric clinic. Fifteen of them participated a second time, shortly before their discharge from the hospital. A group of healthy subjects, matched according to age and sex, served as a control. Chemsosensory event-related potentials (CSERPs) were recorded using the constant flow method. In addition, event-related potentials (ERPs), in response to colors and emotional slides, were obtained to control modality and emotion-specific effects. The subjects' task was to discriminate the colors (red/yellow) and odors (phenyl-ethylalcohol = rose/ isobutyraldehyde = rotten butter) according to their quality and to judge the valence of the emotional slides (IAPS slides). The EEG was recorded from 32 scalp locations. At the beginning of the therapy, visual stimulus processing was attenuated in depressive subjects at a relatively late processing level (reduced amplitudes of the P3 and pSW in response to colors and emotional slides), whereas olfactory stimulus processing had already been affected at an early level (reduced amplitudes of the P2 and P3-1 peaks in MDD patients). However, after successful medical treatment, ERPs did not differentiate between depressive patients and healthy controls. We discuss whether functional deviations within the primary olfactory cortex are responsible for the lower olfactory sensitivity, as well as for the altered emotional stimulus processing in MDD patients.	['Adult', 'Aldehydes', 'Color Perceptionphysiology', 'Depressive Disorder, Majorpsychology', 'Electroencephalography', 'Emotionsphysiology', 'Evoked Potentialsphysiology', 'Evoked Potentials, Visualphysiology', 'Female', 'Humans', 'Male', 'Middle Aged', 'Odorants', 'Phenylethyl Alcohol', 'Smellphysiology']	https://pubmed.ncbi.nlm.nih.gov/12820862/	['Ethanol']	[702]	12820862	['2003', 'Mar']
Habitual moderate alcohol consumption desynchronizes circadian physiologic rhythms and affects reaction-time performance.	DOI: 10.3109/07420528.2010.515763	"The authors studied longitudinally four healthy young adults to explore if habitual evening intake of a ""moderate"" amount of wine alters parameters, including period (τ) of circadian rhythms. Subjects, synchronized by diurnal activity from 07.30 h ± 60 min to 23.00 h ± 90 min and nocturnal rest, were studied during a continuous 22-day span: 11 days without alcohol (control) and 11 days with a glass (200 mL) of wine nightly at supper (alcohol). The amount of alcohol ingested with dinner ranged from 0.28 to 0.42 g/kg/24 h/participant and the estimated evening blood alcohol level ranged from 0.02 to 0.10 g/L/participant. Single reaction time (SRT; yellow light signal), three-choice reaction time (CRT) (red, green, and yellow signals) of both hands, related cumulated errors (c-errors), as well as oral temperature (OT) and grip strength (GS) were measured four to seven times/24 h. Time series were analyzed individually to quantify 24-h means (M), circadian τ (power spectra), and cosinor, and correlation, χ(2), and t tests were performed. The sleep-wake τ (actography) was 24 h in every subject for both conditions. With alcohol, all subjects showed an OT circadian τ shorter than the control one. The SRT circadian M was longer (poorer performance) with wine versus control in three subjects, while CRT was longer with wine versus control in only one subject. Correlation analyses also showed the detrimental effect of alcohol on the same variables. Number of days with <2 c-errors was predominant in control and decreased with alcohol, especially for SRT. The desynchronization of the 10 different documented rhythms was greater with alcohol with reference to control in two of the four studied subjects. This work shows that habitual ""moderate"" wine drinking at supper reduces the performance of subjects, increases the level of c-errors/24 h, especially for SRT, suggesting a ""moderate"" amount of alcohol has the potential to increase accident risk, and it can also desynchronize circadian time organization."	['Adult', 'Alcohol Drinkingphysiopathologypsychology', 'Body Temperaturephysiology', 'Choice Behaviorphysiology', 'Chronobiology Disordersetiologypsychology', 'Circadian Rhythmphysiology', 'Cortical Synchronizationphysiology', 'Ethanolblood', 'Female', 'Hand Strengthphysiology', 'Humans', 'Male', 'Psychomotor Performancephysiology', 'Reaction Timephysiology', 'Sex Characteristics', 'Sleepphysiology', 'Wakefulnessphysiology']	https://pubmed.ncbi.nlm.nih.gov/20969532/	['Ethanol']	[702]	20969532	['2010', 'Oct']
When the brain changes its mind: Oscillatory dynamics of conflict processing and response switching in a flanker task during alcohol challenge.	DOI: 10.1371/journal.pone.0191200	Despite the subjective experience of being in full and deliberate control of our actions, our daily routines rely on a continuous and interactive engagement of sensory evaluation and response preparation streams. They unfold automatically and unconsciously and are seamlessly integrated with cognitive control which is mobilized by stimuli that evoke ambiguity or response conflict. Methods with high spatio-temporal sensitivity are needed to provide insight into the interplay between automatic and controlled processing. This study used anatomically-constrained MEG to examine the underlying neural dynamics in a flanker task that manipulated S-R incongruity at the stimulus (SI) and response levels (RI). Though irrelevant, flankers evoked automatic preparation of motor plans which had to be suppressed and reversed following the target presentation on RI trials. Event-related source power estimates in beta (15-25 Hz) frequency band in the sensorimotor cortex tracked motor preparation and response in real time and revealed switching from the incorrectly-primed to the correctly-responding hemisphere. In contrast, theta oscillations (4-7 Hz) were sensitive to the levels of incongruity as the medial and ventrolateral frontal cortices were especially activated by response conflict. These two areas are key to cognitive control and their integrated contributions to response inhibition and switching were revealed by phase-locked co-oscillations. These processes were pharmacologically manipulated with a moderate alcohol beverage or a placebo administered to healthy social drinkers. Alcohol selectively decreased accuracy to response conflict. It strongly attenuated theta oscillations during decision making and partly re-sculpted relative contributions of the frontal network without affecting the motor switching process subserved by beta band. Our results indicate that motor preparation is initiated automatically even when counterproductive but that it is monitored and regulated by the prefrontal cognitive control processes under conflict. They further confirm that the regulative top-down functions are particularly vulnerable to alcohol intoxication.	['Adult', 'Alcohol Drinkingphysiopathologypsychology', 'Alcoholic Intoxicationphysiopathologypsychology', 'Beta Rhythmdrug effectsphysiology', 'Braindiagnostic imagingdrug effectsphysiology', 'Brain Mapping', 'Cognitiondrug effectsphysiology', 'Conflict, Psychological', 'Ethanoladverse effects', 'Female', 'Functional Neuroimaging', 'Humans', 'Magnetic Resonance Imaging', 'Magnetoencephalography', 'Male', 'Prefrontal Cortexdiagnostic imagingdrug effectsphysiology', 'Psychomotor Performancedrug effectsphysiology', 'Theta Rhythmdrug effectsphysiology', 'Young Adult']	https://pubmed.ncbi.nlm.nih.gov/29329355/	['Ethanol']	[702]	29329355	['2018']
